Item_ID,Item_Name,Category,Supplier,Hospital_Name,Unit_Cost_NGN,Quantity_In_Stock,Reorder_Level,Stock_Status,Monthly_Usage,Last_Restock_Date,Total_Stock_Value_NGN,Days_Until_Stockout,Expiry_Date
INV-0001,Paracetamol 500mg,Drug,MedSupply Abuja,Lagos General Hospital,"4,078.74",143,56,Adequate,103,28/12/2023,"583,259.82",76.60714286,02/05/2023
INV-0002,Paracetamol 500mg,Drug,HealthMart Nigeria,Ibadan Teaching Hospital,"4,520.70",395,49,Adequate,76,29/04/2024,"1,785,676.50",241.8367347,20/10/2023
INV-0003,Paracetamol 500mg,Drug,NigeriaMed Ltd,Abuja National Hospital,"16,274.79",71,80,Low,41,05/08/2024,"1,155,510.09",26.625,13/06/2024
INV-0004,Paracetamol 500mg,Drug,HealthMart Nigeria,Kano Medical Centre,"9,118.63",146,45,Adequate,114,13/05/2023,"1,331,319.98",97.33333333,26/04/2024
INV-0005,Paracetamol 500mg,Drug,MedSupply Abuja,Port Harcourt Specialist Hospital,"12,836.36",319,80,Adequate,90,18/01/2024,"4,094,798.84",119.625,26/04/2023
INV-0006,Amoxicillin 250mg,Drug,NigeriaMed Ltd,Lagos General Hospital,"12,673.26",134,76,Adequate,20,28/02/2023,"1,698,216.84",52.89473684,08/10/2023
INV-0007,Amoxicillin 250mg,Drug,AfriHealth Supplies,Ibadan Teaching Hospital,248.18,436,26,Adequate,84,20/01/2024,"108,206.48",503.0769231,12/07/2023
INV-0008,Amoxicillin 250mg,Drug,AfriHealth Supplies,Abuja National Hospital,"10,012.05",37,34,Adequate,109,18/04/2024,"370,445.85",32.64705882,16/12/2024
INV-0009,Amoxicillin 250mg,Drug,HealthMart Nigeria,Kano Medical Centre,"8,756.00",239,61,Adequate,146,21/04/2024,"2,092,684.00",117.5409836,22/05/2023
INV-0010,Amoxicillin 250mg,Drug,HealthMart Nigeria,Port Harcourt Specialist Hospital,"4,547.82",55,78,Low,111,19/03/2024,"250,130.10",21.15384615,23/08/2023
INV-0011,Metronidazole 200mg,Drug,NigeriaMed Ltd,Lagos General Hospital,"8,251.58",162,41,Adequate,134,06/08/2023,"1,336,755.96",118.5365854,01/06/2024
INV-0012,Metronidazole 200mg,Drug,HealthMart Nigeria,Ibadan Teaching Hospital,"6,995.46",19,54,Critical,49,26/04/2024,"132,913.74",10.55555556,29/06/2023
INV-0013,Metronidazole 200mg,Drug,PharmaCo Lagos,Abuja National Hospital,"8,038.66",16,58,Critical,107,05/03/2023,"128,618.56",8.275862069,05/02/2024
INV-0014,Metronidazole 200mg,Drug,NigeriaMed Ltd,Kano Medical Centre,"24,465.09",109,23,Adequate,64,24/01/2023,"2,666,694.81",142.173913,31/12/2024
